id,count
0,87.01465
1,210.67522
2,77.17469
4,97.73704
5,112.9081
10,130.74684
11,145.53775
12,192.56161
15,60.87901
17,38.653885
18,210.64204
23,202.53516
25,146.3114
26,69.71743
31,201.92723
39,167.01462
40,44.537994
41,153.70264
42,
43,175.81377
51,201.48079
52,58.425564
54,79.85255
60,162.41817
61,168.8831
62,142.6269
63,40.640743
65,139.21799
66,127.86816
68,164.60252
71,46.29219
80,74.78412
82,
94,177.83899
98,198.71387
101,67.393875
102,173.21025
107,128.28232
112,197.98778
113,61.36773
115,
116,159.37384
120,101.502045
121,62.110825
122,215.60225
132,177.08812
143,56.5591
147,
150,55.75858
151,59.79732
152,200.85722
153,86.6581
155,71.08957
156,138.2152
159,188.76111
161,100.09057
163,88.16118
177,173.22551
186,72.87993
188,78.5778
190,91.807175
191,89.73548
192,162.46794
195,203.72404
200,181.88747
209,204.38051
210,53.03186
211,202.12979
214,168.99808
215,79.51868
218,133.65942
219,38.344357
222,109.38901
225,54.902283
228,216.25076
236,198.73586
241,89.923294
242,176.4988
243,207.43605
245,82.22358
247,214.45628
251,174.24792
252,95.093605
253,50.742943
254,69.70202
258,200.0355
260,
261,165.37341
265,71.23881
266,202.06534
267,176.13939
269,169.29147
270,
275,137.6629
278,78.40216
279,41.758244
286,110.39034
287,75.37775
288,203.38176
289,179.8408
293,91.32896
294,160.39688
297,
302,95.32734
303,60.994053
304,119.43018
307,137.38872
309,60.308426
311,191.18352
312,147.90749
314,198.0858
315,203.48775
319,195.76338
322,151.92424
323,
325,165.47113
327,204.81056
330,56.85642
332,191.48158
333,87.63303
338,152.49522
341,75.205925
345,156.85716
348,166.33087
349,95.81265
350,129.4767
352,
355,42.33199
356,
358,
363,167.55229
369,180.29466
371,59.409233
372,176.03877
375,213.91333
380,164.12178
388,85.474304
391,
392,169.78847
393,205.92287
394,82.65673
396,66.94132
401,54.61152
407,49.07212
409,87.65628
410,124.78893
416,107.75085
418,126.16921
420,183.52086
421,188.17847
422,178.6851
424,213.67226
428,174.26534
429,190.04579
431,162.57108
435,17.364191
439,120.22094
441,49.65165
447,62.17758
449,173.42741
451,185.23515
452,78.92501
454,162.69249
458,190.75713
463,170.95462
467,59.35714
470,141.75436
471,159.29604
474,206.55539
478,88.611534
483,97.44464
484,146.91512
485,82.41785
486,161.81023
491,111.68163
494,92.958244
495,175.9774
497,179.34732
499,189.41603
515,133.47356
518,189.31488
521,110.04295
525,
529,194.86836
532,168.85971
534,60.58737
540,78.12747
544,213.51683
547,182.54898
549,94.150955
563,49.51979
564,189.95294
567,98.10041
572,141.40683
577,157.98924
578,209.4511
585,192.77696
588,178.82094
589,152.683
590,137.48746
592,66.30794
594,144.99905
596,66.53948
598,186.45251
599,173.91464
605,79.571724
606,149.82364
607,181.13095
608,196.96785
609,
610,194.68059
611,101.443184
614,
615,175.16035
616,196.62312
617,154.20796
618,175.4936
624,102.92504
629,181.98672
631,94.84694
633,77.79838
637,73.294235
638,131.18478
643,
644,179.82411
645,62.153343
646,170.38683
648,166.11075
650,84.77724
651,90.46966
652,221.67728
656,165.12553
657,91.86985
659,66.40081
660,155.84398
662,143.59007
665,204.11385
675,
681,176.98906
682,178.46123
685,80.33106
686,192.4181
689,66.952255
696,162.25638
703,180.45166
704,110.14002
705,164.53766
714,190.83711
717,71.01518
718,67.06661
720,90.45597
721,205.6866
723,196.94527
726,82.876625
728,163.66475
730,96.63739
731,81.36862
734,213.89734
737,48.487587
738,84.2291
745,179.49132
746,63.75504
749,185.50356
752,57.180424
753,72.26402
758,190.64363
765,71.21614
766,186.97368
768,60.924088
769,195.26288
774,173.14464
775,125.035736
781,
784,199.52687
794,106.644196
795,211.16023
796,68.47975
802,142.81905
803,112.81286
805,52.518894
806,214.77017
807,122.830215
809,50.912357
810,187.94957
812,81.520805
814,100.772194
818,194.32797
819,196.11588
825,-0.8158061
836,77.620445
839,154.44731
847,209.03485
848,78.87243
851,161.77513
852,169.22774
853,52.717743
857,180.48035
858,90.84988
859,190.64467
861,6.9198756
867,135.32774
870,164.05226
871,211.54173
872,209.9044
874,217.44475
881,200.67438
886,165.14291
890,
895,171.60437
899,71.73901
900,198.5181
901,210.10585
902,193.59552
903,95.54595
913,214.13933
918,209.86263
923,166.94292
924,65.61246
926,68.32246
927,86.84826
930,167.11597
934,42.71543
937,174.06294
939,145.5226
941,98.91045
942,214.83339
946,188.39119
950,118.79627
953,72.20175
959,58.261635
961,42.39102
962,89.68142
964,122.179016
969,159.78374
971,156.6852
976,69.57513
978,194.98738
980,199.39755
981,163.99242
990,208.80792
993,72.347336
996,88.537094
998,199.4062
999,186.28853
1006,159.24257
1008,65.50484
1013,90.024155
1015,112.913086
1016,146.45009
1022,198.90813
1026,183.09436
1028,200.14671
1031,49.729347
1034,
1037,194.43542
1040,
1042,83.33737
1046,106.97202
1048,117.11245
1049,151.95192
1050,
1051,186.08708
1052,204.31432
1055,98.73524
