id,count
0,81.91176
1,203.93167
2,63.587566
4,89.05846
5,101.99304
10,119.21739
11,131.96436
12,185.5245
15,61.21858
17,27.588518
18,198.90851
23,189.14484
25,151.1771
26,66.07935
31,180.0427
39,164.7708
40,45.32204
41,127.24822
42,
43,160.40956
51,191.77776
52,57.060215
54,73.70047
60,146.7073
61,167.31169
62,132.34738
63,39.634747
65,125.37027
66,111.470795
68,163.78477
71,40.94341
80,75.13904
82,
94,163.66106
98,187.17667
101,72.54224
102,154.82254
107,98.06598
112,196.17313
113,67.37677
115,
116,145.4137
120,79.92325
121,69.34453
122,201.57329
132,160.18259
143,42.719864
147,
150,59.656612
151,54.513943
152,187.14403
153,71.67342
155,69.599785
156,105.292175
159,174.05727
161,76.74154
163,68.71
177,157.57184
186,73.06464
188,58.129177
190,70.91118
191,86.31578
192,162.36017
195,193.35315
200,167.70566
209,190.1916
210,59.516117
211,205.2654
214,163.01799
215,73.71735
218,134.94312
219,36.014248
222,89.71678
225,53.380726
228,202.88162
236,186.50494
241,67.6647
242,164.19101
243,198.51971
245,59.684994
247,197.08405
251,169.83398
252,74.17604
253,54.193462
254,69.909195
258,190.36438
260,
261,159.7457
265,53.28259
266,185.53287
267,180.62903
269,152.52637
270,
275,131.8347
278,65.692856
279,43.609013
286,92.68053
287,53.755157
288,187.49193
289,167.9568
293,71.81915
294,165.56018
297,
302,98.12478
303,63.586105
304,107.7648
307,122.08515
309,54.1665
311,179.90038
312,125.95068
314,183.98178
315,192.75215
319,178.5555
322,140.34366
323,
325,167.7154
327,187.47652
330,52.036396
332,177.88615
333,67.36573
338,139.3367
341,73.35135
345,132.73366
348,153.1514
349,79.64809
350,109.84631
352,
355,43.13996
356,
358,
363,155.04808
369,171.50497
371,61.701588
372,174.77621
375,196.75093
380,167.76114
388,69.85455
391,
392,168.10188
393,194.00433
394,80.35567
396,51.25709
401,54.672695
407,36.31943
409,67.86083
410,117.86451
416,110.31587
418,109.78251
420,170.68977
421,184.05328
422,170.69592
424,201.19736
428,176.0267
429,189.15521
431,158.84047
435,9.686054
439,98.58796
441,40.184048
447,61.172047
449,174.34177
451,183.06735
452,69.42817
454,166.62628
458,188.25888
463,157.28734
467,63.039593
470,120.21582
471,140.57355
474,188.99281
478,78.609985
483,96.67642
484,147.28189
485,64.558304
486,151.78978
491,113.6518
494,94.51129
495,176.35126
497,170.47313
499,189.72458
515,128.17078
518,174.673
521,90.12691
525,
529,180.91702
532,152.19687
534,51.43295
